concept_id,n_positions,evr_pc1,evr_pc2,evr_pc3,evr_pc4,evr_pc5,evr_pc6,cum_pc1_1,cum_pc1_2,cum_pc1_3,cum_pc1_4,cum_pc1_5,cum_pc1_6
50,17,0.227394,0.150739,0.098015,0.074891,0.063849,0.058704,0.227394,0.378133,0.476149,0.551040,0.614889,0.673592
51,21,0.300527,0.150892,0.077780,0.067877,0.052277,0.044170,0.300527,0.451419,0.529199,0.597076,0.649353,0.693523
52,19,0.156142,0.115543,0.106935,0.087551,0.064756,0.059118,0.156142,0.271684,0.378619,0.466171,0.530926,0.590045
53,16,0.204573,0.140862,0.106584,0.084549,0.078442,0.063302,0.204573,0.345435,0.452019,0.536568,0.615010,0.678312
54,19,0.225331,0.156733,0.098477,0.076465,0.056520,0.047699,0.225331,0.382064,0.480541,0.557005,0.613526,0.661224
55,14,0.285408,0.155516,0.108926,0.086007,0.071102,0.060536,0.285408,0.440924,0.549851,0.635858,0.706960,0.767496
56,18,0.212302,0.149509,0.100299,0.080237,0.059815,0.058094,0.212302,0.361811,0.462110,0.542347,0.602162,0.660256
57,17,0.240785,0.141032,0.106834,0.073293,0.062854,0.055276,0.240785,0.381817,0.488651,0.561944,0.624798,0.680074
58,18,0.222454,0.181122,0.095524,0.076904,0.068949,0.061838,0.222454,0.403576,0.499100,0.576004,0.644953,0.706790
59,26,0.292772,0.132256,0.081855,0.059600,0.045582,0.043433,0.292772,0.425028,0.506883,0.566482,0.612065,0.655498
60,20,0.203593,0.185242,0.088890,0.079653,0.059526,0.052915,0.203593,0.388835,0.477725,0.557377,0.616903,0.669818
61,22,0.178626,0.112494,0.105737,0.073025,0.061672,0.053439,0.178626,0.291120,0.396857,0.469883,0.531554,0.584994
62,18,0.264128,0.126122,0.099179,0.072940,0.066503,0.057251,0.264128,0.390250,0.489429,0.562369,0.628872,0.686122
63,19,0.260159,0.120751,0.107036,0.083365,0.069507,0.057363,0.260159,0.380910,0.487946,0.571310,0.640817,0.698180
64,19,0.243805,0.141552,0.127909,0.068286,0.063354,0.053450,0.243805,0.385357,0.513266,0.581552,0.644906,0.698355
65,17,0.178317,0.161216,0.086808,0.083918,0.074162,0.070852,0.178317,0.339533,0.426341,0.510259,0.584421,0.655273
66,17,0.312912,0.115522,0.096369,0.077821,0.065716,0.049806,0.312912,0.428434,0.524804,0.602625,0.668341,0.718147
67,20,0.229178,0.134639,0.094396,0.074980,0.062071,0.054057,0.229178,0.363816,0.458213,0.533192,0.595263,0.649321
68,18,0.246305,0.120027,0.113030,0.069342,0.060576,0.053094,0.246305,0.366332,0.479361,0.548703,0.609279,0.662374
69,24,0.164288,0.133972,0.121519,0.068483,0.060674,0.056938,0.164288,0.298259,0.419778,0.488261,0.548935,0.605873
70,16,0.178668,0.159429,0.118723,0.106931,0.082583,0.063346,0.178668,0.338097,0.456820,0.563752,0.646334,0.709680
71,22,0.281293,0.130218,0.073967,0.063800,0.051627,0.048329,0.281293,0.411511,0.485478,0.549278,0.600905,0.649234
72,18,0.220357,0.154437,0.083390,0.082779,0.063363,0.059660,0.220357,0.374794,0.458184,0.540963,0.604326,0.663986
73,24,0.251766,0.112620,0.105255,0.068173,0.052756,0.045158,0.251766,0.364386,0.469641,0.537814,0.590570,0.635728
74,19,0.182531,0.165674,0.081244,0.071284,0.063585,0.051606,0.182531,0.348204,0.429449,0.500733,0.564318,0.615924
75,20,0.202301,0.113210,0.083331,0.079326,0.060894,0.055558,0.202301,0.315510,0.398841,0.478167,0.539062,0.594619
76,19,0.263308,0.182437,0.080421,0.060519,0.054204,0.048785,0.263308,0.445745,0.526166,0.586685,0.640889,0.689674
77,22,0.241656,0.161940,0.092131,0.071899,0.053857,0.043997,0.241656,0.403596,0.495727,0.567626,0.621483,0.665480
78,20,0.199966,0.118045,0.087256,0.083887,0.077142,0.058503,0.199966,0.318011,0.405267,0.489154,0.566296,0.624799
79,17,0.196644,0.136353,0.109013,0.083396,0.080008,0.058603,0.196644,0.332996,0.442009,0.525404,0.605412,0.664015
80,22,0.169247,0.149282,0.080340,0.071197,0.057682,0.052823,0.169247,0.318529,0.398869,0.470067,0.527748,0.580571
81,15,0.279734,0.217152,0.088116,0.079671,0.068343,0.048453,0.279734,0.496887,0.585003,0.664673,0.733017,0.781470
82,19,0.214287,0.128252,0.102718,0.077362,0.058205,0.054651,0.214287,0.342540,0.445258,0.522620,0.580825,0.635476
83,18,0.235240,0.111124,0.088689,0.072792,0.067807,0.058575,0.235240,0.346364,0.435053,0.507845,0.575652,0.634227
84,17,0.222276,0.141638,0.096558,0.073113,0.063968,0.061856,0.222276,0.363914,0.460472,0.533585,0.597553,0.659409
85,15,0.261822,0.214020,0.106536,0.088939,0.058385,0.055932,0.261822,0.475842,0.582378,0.671317,0.729702,0.785634
86,19,0.223384,0.192517,0.100270,0.074793,0.063320,0.056570,0.223384,0.415901,0.516172,0.590964,0.654284,0.710854
87,16,0.222829,0.197326,0.107671,0.086613,0.063849,0.055292,0.222829,0.420155,0.527826,0.614439,0.678288,0.733579
88,18,0.204367,0.119426,0.086615,0.079406,0.073344,0.061669,0.204367,0.323792,0.410407,0.489813,0.563157,0.624826
89,30,0.150259,0.129108,0.100164,0.072615,0.048043,0.042372,0.150259,0.279366,0.379530,0.452145,0.500189,0.542561
90,24,0.186101,0.115036,0.083009,0.067181,0.055526,0.049641,0.186101,0.301137,0.384146,0.451327,0.506853,0.556494
91,15,0.235422,0.189544,0.101894,0.093508,0.064328,0.058395,0.235422,0.424966,0.526860,0.620368,0.684696,0.743091
92,20,0.177673,0.152531,0.095146,0.081123,0.067592,0.053768,0.177673,0.330204,0.425351,0.506473,0.574066,0.627834
93,17,0.209285,0.170724,0.110482,0.080334,0.064883,0.058593,0.209285,0.380009,0.490492,0.570826,0.635709,0.694302
94,19,0.242251,0.134913,0.105787,0.074264,0.062185,0.053853,0.242251,0.377164,0.482951,0.557215,0.619400,0.673253
95,14,0.273309,0.180238,0.128535,0.105777,0.070584,0.056620,0.273309,0.453547,0.582082,0.687859,0.758443,0.815063
96,17,0.303314,0.145138,0.087637,0.075752,0.065405,0.053885,0.303314,0.448452,0.536089,0.611842,0.677246,0.731131
97,20,0.268862,0.130340,0.108260,0.068312,0.058287,0.047094,0.268862,0.399202,0.507462,0.575774,0.634061,0.681155
98,23,0.181310,0.100191,0.084433,0.071170,0.059264,0.054624,0.181310,0.281501,0.365934,0.437104,0.496368,0.550992
99,18,0.179844,0.112188,0.108420,0.086052,0.077597,0.059463,0.179844,0.292032,0.400452,0.486504,0.564101,0.623565
100,16,0.266052,0.230001,0.086872,0.080565,0.051137,0.048637,0.266052,0.496053,0.582925,0.663490,0.714626,0.763264
101,16,0.250369,0.200366,0.091078,0.086911,0.062496,0.054625,0.250369,0.450735,0.541813,0.628724,0.691220,0.745845
102,16,0.237641,0.205831,0.089539,0.074956,0.068234,0.050645,0.237641,0.443472,0.533011,0.607967,0.676200,0.726846
103,24,0.170573,0.134012,0.101881,0.071044,0.053061,0.049318,0.170573,0.304585,0.406465,0.477510,0.530571,0.579889
104,18,0.294776,0.129291,0.104222,0.075911,0.063516,0.046009,0.294776,0.424067,0.528289,0.604200,0.667716,0.713724
105,17,0.241640,0.170245,0.095418,0.079894,0.072070,0.065591,0.241640,0.411886,0.507303,0.587197,0.659267,0.724858
106,20,0.249516,0.112461,0.103380,0.073673,0.069394,0.059234,0.249516,0.361977,0.465357,0.539030,0.608424,0.667659
107,22,0.160712,0.108892,0.096282,0.086280,0.068841,0.061031,0.160712,0.269604,0.365886,0.452166,0.521007,0.582038
108,21,0.201273,0.132363,0.072711,0.068354,0.063665,0.058527,0.201273,0.333636,0.406347,0.474700,0.538365,0.596892
109,19,0.201738,0.154248,0.077937,0.069269,0.063351,0.058089,0.201738,0.355986,0.433922,0.503192,0.566543,0.624632
110,17,0.267154,0.136483,0.101534,0.077835,0.064145,0.052326,0.267154,0.403637,0.505171,0.583006,0.647151,0.699477
111,14,0.331718,0.184260,0.155738,0.082337,0.052462,0.037710,0.331718,0.515978,0.671717,0.754054,0.806516,0.844226
112,18,0.255358,0.140301,0.086904,0.080475,0.071194,0.064040,0.255358,0.395659,0.482563,0.563038,0.634233,0.698273
113,17,0.268479,0.116307,0.100052,0.076178,0.071073,0.059003,0.268479,0.384786,0.484839,0.561017,0.632090,0.691093
114,26,0.145289,0.098360,0.082280,0.068856,0.059521,0.054957,0.145289,0.243649,0.325929,0.394786,0.454307,0.509264
115,17,0.280797,0.154954,0.083468,0.070690,0.061087,0.051908,0.280797,0.435751,0.519219,0.589909,0.650996,0.702904
116,16,0.274271,0.127585,0.096753,0.094588,0.081315,0.064854,0.274271,0.401856,0.498608,0.593196,0.674511,0.739365
117,21,0.181122,0.134749,0.084553,0.074602,0.063419,0.057935,0.181122,0.315871,0.400424,0.475025,0.538444,0.596379
118,16,0.281102,0.212454,0.083514,0.078552,0.069154,0.050869,0.281102,0.493556,0.577070,0.655621,0.724775,0.775644
119,23,0.208998,0.123618,0.091108,0.088913,0.073587,0.048062,0.208998,0.332616,0.423724,0.512637,0.586225,0.634287
120,19,0.279294,0.133178,0.097199,0.072718,0.056998,0.047652,0.279294,0.412472,0.509672,0.582390,0.639388,0.687040
121,20,0.210978,0.128178,0.078219,0.073141,0.065748,0.057194,0.210978,0.339156,0.417375,0.490516,0.556265,0.613459
122,21,0.297173,0.157411,0.076148,0.063585,0.049893,0.047606,0.297173,0.454584,0.530732,0.594317,0.644210,0.691815
123,17,0.267121,0.180861,0.073943,0.071832,0.057273,0.055606,0.267121,0.447983,0.521926,0.593758,0.651030,0.706636
124,20,0.200302,0.137923,0.097813,0.074939,0.061546,0.056300,0.200302,0.338225,0.436037,0.510976,0.572522,0.628822
125,16,0.231808,0.184399,0.125346,0.084691,0.079991,0.058514,0.231808,0.416207,0.541553,0.626245,0.706235,0.764749
126,17,0.299991,0.190111,0.082743,0.068454,0.060557,0.047391,0.299991,0.490102,0.572845,0.641299,0.701855,0.749246
127,15,0.254524,0.115337,0.102543,0.087116,0.076174,0.062542,0.254524,0.369862,0.472404,0.559520,0.635693,0.698235
128,19,0.206731,0.111605,0.087814,0.075375,0.069337,0.059430,0.206731,0.318335,0.406150,0.481525,0.550862,0.610292
129,20,0.192389,0.150508,0.096304,0.068957,0.052093,0.047946,0.192389,0.342898,0.439202,0.508159,0.560252,0.608198
130,21,0.293393,0.163311,0.095192,0.068517,0.056444,0.054943,0.293393,0.456703,0.551895,0.620412,0.676856,0.731799
131,19,0.216347,0.157936,0.096787,0.083564,0.061191,0.051539,0.216347,0.374283,0.471070,0.554634,0.615825,0.667365
132,18,0.182976,0.136952,0.095788,0.075801,0.073410,0.060428,0.182976,0.319928,0.415716,0.491517,0.564927,0.625355
133,24,0.202930,0.135432,0.089547,0.074065,0.058682,0.042595,0.202930,0.338362,0.427909,0.501974,0.560656,0.603251
134,18,0.271567,0.176606,0.085482,0.066718,0.061732,0.050657,0.271567,0.448173,0.533656,0.600374,0.662106,0.712763
135,14,0.260560,0.198072,0.117608,0.076983,0.061257,0.058179,0.260560,0.458632,0.576240,0.653223,0.714481,0.772660
136,19,0.225740,0.163177,0.089494,0.073227,0.062217,0.058992,0.225740,0.388917,0.478411,0.551638,0.613855,0.672847
137,16,0.263819,0.143423,0.090607,0.083284,0.070066,0.066583,0.263819,0.407242,0.497848,0.581132,0.651198,0.717781
138,19,0.172375,0.168307,0.095979,0.074161,0.068158,0.057842,0.172375,0.340682,0.436662,0.510823,0.578981,0.636823
139,23,0.191497,0.140572,0.119033,0.075483,0.058138,0.048718,0.191497,0.332069,0.451103,0.526586,0.584724,0.633442
140,19,0.242386,0.116668,0.106757,0.074418,0.068806,0.065035,0.242386,0.359054,0.465811,0.540229,0.609035,0.674070
141,19,0.267752,0.148420,0.081026,0.067947,0.056719,0.050512,0.267752,0.416172,0.497198,0.565145,0.621864,0.672376
142,18,0.246826,0.119352,0.094951,0.076955,0.063346,0.058663,0.246826,0.366178,0.461129,0.538084,0.601430,0.660094
143,19,0.231164,0.109368,0.108444,0.074573,0.054620,0.051517,0.231164,0.340532,0.448976,0.523549,0.578169,0.629685
144,16,0.278682,0.200740,0.104271,0.074714,0.065898,0.058299,0.278682,0.479423,0.583694,0.658408,0.724306,0.782604
145,21,0.277010,0.126794,0.099787,0.067521,0.055159,0.051419,0.277010,0.403804,0.503591,0.571112,0.626271,0.677689
146,25,0.207885,0.140145,0.080148,0.060981,0.049964,0.048779,0.207885,0.348030,0.428178,0.489159,0.539123,0.587902
147,21,0.153903,0.138626,0.090685,0.078435,0.066885,0.058756,0.153903,0.292529,0.383215,0.461650,0.528535,0.587291
148,17,0.194375,0.130208,0.092657,0.078785,0.070352,0.067694,0.194375,0.324583,0.417240,0.496025,0.566377,0.634071
149,26,0.175257,0.108605,0.097408,0.070604,0.048937,0.046396,0.175257,0.283863,0.381271,0.451874,0.500811,0.547207
150,17,0.236827,0.155466,0.083694,0.078049,0.073865,0.053488,0.236827,0.392293,0.475987,0.554036,0.627901,0.681389
151,16,0.255091,0.203093,0.083337,0.077037,0.064799,0.051474,0.255091,0.458184,0.541521,0.618558,0.683356,0.734830
152,14,0.298048,0.228844,0.111091,0.072083,0.064702,0.050864,0.298048,0.526892,0.637983,0.710066,0.774768,0.825632
153,19,0.230956,0.131532,0.090657,0.072714,0.062638,0.051215,0.230956,0.362487,0.453145,0.525859,0.588497,0.639712
154,28,0.188031,0.140591,0.084986,0.068845,0.059941,0.055944,0.188031,0.328623,0.413609,0.482454,0.542395,0.598339
155,16,0.256458,0.137786,0.086367,0.080656,0.077607,0.059817,0.256458,0.394243,0.480611,0.561267,0.638874,0.698691
156,15,0.229413,0.176383,0.096243,0.088084,0.071715,0.063038,0.229413,0.405796,0.502039,0.590123,0.661838,0.724876
157,19,0.208788,0.176654,0.089301,0.069009,0.068546,0.054772,0.208788,0.385442,0.474743,0.543752,0.612298,0.667070
158,17,0.284470,0.116638,0.090982,0.087831,0.066978,0.049829,0.284470,0.401108,0.492091,0.579922,0.646900,0.696729
159,14,0.308933,0.128464,0.105204,0.079481,0.059585,0.050620,0.308933,0.437396,0.542600,0.622081,0.681665,0.732285
160,21,0.210639,0.128075,0.115322,0.072708,0.066122,0.062323,0.210639,0.338714,0.454037,0.526745,0.592868,0.655191
161,16,0.213886,0.168534,0.127217,0.094108,0.073107,0.053525,0.213886,0.382420,0.509637,0.603745,0.676851,0.730376
162,18,0.259558,0.198417,0.099975,0.072999,0.060015,0.051237,0.259558,0.457975,0.557950,0.630950,0.690965,0.742203
163,17,0.230905,0.159514,0.116274,0.081332,0.062478,0.061666,0.230905,0.390419,0.506693,0.588025,0.650503,0.712168
164,17,0.241163,0.164025,0.084040,0.080036,0.064989,0.056801,0.241163,0.405188,0.489227,0.569264,0.634253,0.691054
165,22,0.183560,0.170416,0.079764,0.064638,0.056434,0.048433,0.183560,0.353977,0.433741,0.498378,0.554812,0.603245
166,25,0.156517,0.142418,0.081392,0.061990,0.050482,0.048763,0.156517,0.298936,0.380328,0.442318,0.492800,0.541564
167,18,0.282367,0.162214,0.084870,0.058962,0.051251,0.044803,0.282367,0.444581,0.529451,0.588413,0.639664,0.684467
168,23,0.168021,0.131791,0.103342,0.083594,0.063642,0.056342,0.168021,0.299812,0.403154,0.486748,0.550390,0.606733
169,22,0.159565,0.127438,0.100316,0.066746,0.058634,0.055357,0.159565,0.287003,0.387319,0.454066,0.512700,0.568057
170,18,0.177273,0.148042,0.108134,0.090673,0.068058,0.060311,0.177273,0.325316,0.433450,0.524123,0.592181,0.652493
171,21,0.213201,0.147602,0.093045,0.062483,0.057664,0.052737,0.213201,0.360803,0.453848,0.516330,0.573994,0.626731
172,18,0.197347,0.161256,0.091601,0.070898,0.060256,0.056706,0.197347,0.358604,0.450205,0.521103,0.581359,0.638064
173,14,0.271511,0.190697,0.098686,0.088588,0.068854,0.059643,0.271511,0.462208,0.560894,0.649482,0.718336,0.777979
174,22,0.178171,0.144651,0.114064,0.073201,0.060794,0.050863,0.178171,0.322822,0.436886,0.510088,0.570882,0.621745
175,17,0.240268,0.147058,0.107841,0.077795,0.065452,0.052138,0.240268,0.387326,0.495166,0.572962,0.638413,0.690551
176,21,0.210544,0.185093,0.101095,0.071219,0.064899,0.050167,0.210544,0.395636,0.496731,0.567950,0.632849,0.683016
177,20,0.157480,0.131638,0.099618,0.074527,0.072471,0.058080,0.157480,0.289118,0.388736,0.463263,0.535734,0.593814
178,20,0.186895,0.156451,0.095567,0.081962,0.077374,0.055341,0.186895,0.343346,0.438913,0.520875,0.598250,0.653591
179,20,0.181318,0.134693,0.106727,0.079728,0.071488,0.059431,0.181318,0.316010,0.422737,0.502465,0.573953,0.633384
180,23,0.177710,0.134151,0.099755,0.056649,0.052345,0.051306,0.177710,0.311861,0.411617,0.468265,0.520610,0.571917
181,16,0.304117,0.151903,0.088973,0.074807,0.066574,0.059847,0.304117,0.456020,0.544993,0.619800,0.686374,0.746221
182,24,0.125616,0.116005,0.096435,0.085835,0.060857,0.056546,0.125616,0.241621,0.338057,0.423891,0.484748,0.541294
183,16,0.277197,0.172708,0.097641,0.087607,0.063812,0.053897,0.277197,0.449905,0.547546,0.635153,0.698965,0.752861
184,19,0.193514,0.119592,0.090247,0.085831,0.063460,0.058327,0.193514,0.313106,0.403354,0.489184,0.552644,0.610971
185,18,0.191445,0.171767,0.109224,0.074870,0.065758,0.055642,0.191445,0.363213,0.472437,0.547307,0.613065,0.668707
186,26,0.148212,0.115342,0.099707,0.070772,0.058677,0.057587,0.148212,0.263554,0.363261,0.434033,0.492710,0.550297
187,20,0.250682,0.164567,0.100567,0.064755,0.051528,0.047240,0.250682,0.415249,0.515816,0.580571,0.632099,0.679339
188,17,0.286271,0.190857,0.092969,0.073668,0.058945,0.049858,0.286271,0.477128,0.570097,0.643765,0.702711,0.752569
189,27,0.153639,0.088499,0.078605,0.065693,0.056543,0.048382,0.153639,0.242138,0.320743,0.386436,0.442979,0.491360
190,20,0.245334,0.185053,0.077247,0.070490,0.058797,0.050053,0.245334,0.430386,0.507633,0.578124,0.636920,0.686973
191,21,0.164361,0.154976,0.110711,0.063393,0.056654,0.051634,0.164361,0.319336,0.430047,0.493440,0.550094,0.601728
192,14,0.273528,0.178350,0.127645,0.083596,0.065468,0.049244,0.273528,0.451879,0.579523,0.663119,0.728587,0.777831
193,12,0.316245,0.159569,0.124077,0.104261,0.066608,0.059752,0.316245,0.475814,0.599892,0.704153,0.770761,0.830513
194,17,0.312113,0.138289,0.118253,0.083777,0.075141,0.056482,0.312113,0.450402,0.568655,0.652432,0.727573,0.784055
195,19,0.187596,0.162595,0.079933,0.074932,0.065736,0.057603,0.187596,0.350191,0.430124,0.505056,0.570793,0.628396
196,16,0.198711,0.184123,0.132158,0.090964,0.076587,0.059820,0.198711,0.382834,0.514992,0.605956,0.682543,0.742363
197,19,0.179004,0.129446,0.096762,0.078304,0.073736,0.070436,0.179004,0.308449,0.405212,0.483516,0.557252,0.627688
198,25,0.167081,0.116299,0.107546,0.058842,0.055383,0.050680,0.167081,0.283380,0.390926,0.449769,0.505152,0.555832
199,21,0.163583,0.136597,0.089253,0.069063,0.062351,0.059138,0.163583,0.300180,0.389433,0.458496,0.520847,0.579985
200,22,0.183951,0.141920,0.105500,0.070434,0.061873,0.053819,0.183951,0.325871,0.431370,0.501805,0.563677,0.617497
201,15,0.214223,0.177673,0.108779,0.096529,0.090548,0.063453,0.214223,0.391896,0.500675,0.597203,0.687751,0.751205
202,15,0.246098,0.161383,0.100699,0.087913,0.070411,0.061180,0.246098,0.407481,0.508180,0.596093,0.666504,0.727684
203,16,0.358220,0.178491,0.087507,0.080446,0.052887,0.047044,0.358220,0.536710,0.624217,0.704663,0.757550,0.804594
204,13,0.258702,0.212961,0.107342,0.095847,0.071506,0.058163,0.258702,0.471664,0.579006,0.674853,0.746359,0.804522
205,20,0.201506,0.155824,0.083774,0.077038,0.067033,0.055556,0.201506,0.357330,0.441104,0.518142,0.585175,0.640731
206,22,0.174181,0.145111,0.106943,0.066807,0.057002,0.049847,0.174181,0.319293,0.426236,0.493043,0.550045,0.599892
207,17,0.202938,0.147614,0.101867,0.086148,0.071569,0.065369,0.202938,0.350553,0.452419,0.538567,0.610136,0.675504
208,19,0.166336,0.141914,0.118856,0.077609,0.072652,0.058397,0.166336,0.308250,0.427106,0.504716,0.577368,0.635765
209,13,0.301884,0.272842,0.113131,0.083401,0.057244,0.035072,0.301884,0.574726,0.687857,0.771258,0.828502,0.863575
210,20,0.314125,0.151885,0.080860,0.067626,0.054774,0.050469,0.314125,0.466011,0.546871,0.614498,0.669272,0.719741
211,13,0.318541,0.118013,0.106327,0.074914,0.070205,0.060936,0.318541,0.436553,0.542880,0.617794,0.687999,0.748935
212,23,0.180003,0.144965,0.082850,0.069818,0.057939,0.046366,0.180003,0.324969,0.407818,0.477636,0.535575,0.581941
213,18,0.223236,0.171992,0.110839,0.068698,0.057998,0.056691,0.223236,0.395228,0.506067,0.574765,0.632763,0.689455
214,16,0.245063,0.134636,0.091043,0.088981,0.076905,0.070437,0.245063,0.379699,0.470742,0.559723,0.636627,0.707064
